,maximum,minimum,mean,median,standardDeviation,variance,kurtosis,skewness,numberOfZeroCrossing,positiveToNegativeSampleRatio,meanAbsoluteValue,approximateEntropy,sampleEntropy,permutationEntropy,singularValueDecompositionEntropy,shannonEntropy,renyiEntropy,lempelZivComplexity,hjorthMobility,hjorthComplexity,fisherInfo,petrosianFd,katzFd,higuchiFd,detrendedFluctuation,fd_maximum,fd_minimum,fd_mean,fd_median,fd_standardDeviation,fd_variance,fd_kurtosis,fd_skewness,spectralEntropy,fd_bandPower
detrendedFluctuation,0.4933481873486982,-0.47300215959467545,,-0.10820163821646848,0.19722554755873914,0.13444670672315412,-0.20407558698601863,0.24489920682974875,-0.14948008697946683,-0.07619457611781423,0.1805228265364074,0.3313218362815662,0.24980649925978599,0.10955561900512989,-0.46034813282243586,0.13638787923287424,-0.10768812847117652,0.008006917164178149,-0.5355628087515979,0.6274972574758554,-0.5057310528913165,-0.01581225680540146,-0.24870804771210195,-0.26173478779309933,1.0,-0.11819902458693116,0.04918748102712816,0.35256976535371115,0.27528203112304545,0.09588588618160275,0.05989755842080591,-0.14119361828911994,-0.14253112412578087,0.0348127729926702,0.14549537021220516
fd_maximum,-0.11514287654334804,-0.10462091805551196,,0.13285481909231034,0.48102479404002374,0.4965638816887502,-0.21563673637448116,-0.22105086667791307,-0.11184108672169374,0.3332840836192408,0.5185573482330962,-0.36751040727541373,-0.27471830141253767,-0.29623690934072316,-0.17661120075474893,0.033925852641736254,-0.3818033864736042,-0.13502570756515564,-0.17502785747111718,0.08754187749348863,-0.18456224391339113,-0.09354110931652927,0.15533574277698572,-0.3094893231364191,-0.11819902458693116,1.0,0.005251190622673713,-0.4638309466469464,-0.4439443745187156,0.6374810980448617,0.6810321261634502,0.8900563329289157,0.8856311495253706,-0.6996031590141569,0.49009881894062274
fd_minimum,0.0768561637952053,-0.14858877102270399,,-0.05225466402546128,0.08431136743614552,0.11136923221030585,-0.08901533295295119,0.016870680028655407,-0.003109303611925556,-0.04765474234918437,0.08684549225609134,0.04800049987282037,0.03160256735001818,0.06905309510460589,-0.027176487514466306,-0.08771001667753166,-0.04525913427161717,0.05975963895312536,-0.058214682380775144,0.11708468914012457,-0.05016770805216669,0.08112917515428068,-0.06864936385993198,-0.010502770061063581,0.04918748102712816,0.005251190622673713,1.0,0.15466969199158806,0.16915613359288945,0.07159123910154407,0.08456095524781419,-0.050111493877225875,-0.04785480228993138,-0.0036069613942595275,0.10713031751957337
fd_mean,0.3615306075916978,-0.38899503439895344,,-0.05268013788471017,0.012292113462759718,-0.03739053255064554,-0.042588749446385084,0.1246835746997808,-0.06725404118311698,-0.21934597691554508,-0.034446829307929576,0.4078392591849178,0.28208186130509455,0.2678134549682168,0.008169714570504904,-0.09446466508820729,-0.004808058264154173,0.49277545284933044,-0.049847564966448626,0.2922718577510194,-0.008512317983086909,0.08678236982375465,-0.16147851869191598,0.12519742706804043,0.35256976535371115,-0.4638309466469464,0.15466969199158806,1.0,0.8896484018055575,-0.19609985895059207,-0.24395149464243376,-0.5777404974546451,-0.649608462073373,0.5521664709668546,-0.040975401160783215
fd_median,0.31729773606496914,-0.3816271657519392,,-0.0004621701699632888,-0.08776055190828885,-0.114620396626485,0.06908358478206564,0.0426955263070535,0.061766009957388304,-0.16343389683654563,-0.1172460264610033,0.5256413685282588,0.383059519352705,0.4029589784281399,0.2179187740206988,-0.09988933917244763,0.08044474250280918,0.47832649263692983,0.1347762463861303,0.25995901536910143,0.17053230878985223,0.1995851015015862,-0.14093551023588774,0.30966095250081965,0.27528203112304545,-0.4439443745187156,0.16915613359288945,0.8896484018055575,1.0,-0.2836971791672539,-0.3118317767028335,-0.5060646744234177,-0.5815826579361182,0.5791772986978897,-0.12293180957199412
fd_standardDeviation,0.005499003100534142,-0.29329158605894756,,0.024400258837584666,0.9414901908907609,0.896519000203338,-0.38207945929649284,-0.11558127135667694,-0.31509281683492174,0.2753449314037453,0.9071731377944555,-0.43214169360049776,-0.3750971401924954,-0.3446341497456739,-0.5342388056519376,0.44941527793556374,-0.6785252056697519,-0.08927402387194582,-0.5061515366855783,0.43298970643890916,-0.5111898729089706,-0.16421006015978526,0.11094398038357972,-0.6567623685412857,0.09588588618160275,0.6374810980448617,0.07159123910154407,-0.19609985895059207,-0.2836971791672539,1.0,0.9640270807185435,0.4516626126696046,0.5741639946864173,-0.7091305787267813,0.8975911979489609
fd_variance,0.019114379736879433,-0.28482806927079796,,0.010836015454080934,0.8848240321620291,0.8689473234517135,-0.3387237960272994,-0.09107375330459232,-0.24704173172022414,0.25136488898710774,0.8482920960160238,-0.3969265477681146,-0.358097941619878,-0.3029885438796902,-0.464946195451781,0.35768650246635403,-0.603061836580914,-0.1457669673144759,-0.4440003767279552,0.3918059952822031,-0.44783001595265043,-0.12439699627625485,0.10573832473762117,-0.5961678680321377,0.05989755842080591,0.6810321261634502,0.08456095524781419,-0.24395149464243376,-0.3118317767028335,0.9640270807185435,1.0,0.5077270522203522,0.6211400199869463,-0.7127701170368235,0.8635801306255331
fd_kurtosis,-0.14472756900067252,-0.022467273979438658,,0.14250707339649854,0.2786674641133035,0.2974347758243588,-0.12431820251275713,-0.1980471585896116,0.0028116248331106404,0.29904285511012907,0.3284507926096239,-0.29836565643774593,-0.19299852656554883,-0.2467563622319719,-0.06071959346819346,-0.09320531360795549,-0.20082396514165204,-0.16324828300237423,-0.0732569252412176,0.002252298610125189,-0.08974428635826254,-0.05325207023949286,0.1777826970685025,-0.17339820139475537,-0.14119361828911994,0.8900563329289157,-0.050111493877225875,-0.5777404974546451,-0.5060646744234177,0.4516626126696046,0.5077270522203522,1.0,0.9573111435863582,-0.6637690126205509,0.29196392593481485
fd_skewness,-0.17340478100320258,-0.015395824818069174,,0.1503359748695183,0.3862250314326471,0.39306392972902404,-0.20137709454695155,-0.2028844236514709,-0.04945764269765918,0.34178389096624806,0.42812704086389763,-0.3734982051407379,-0.25134718869209016,-0.3013023319937863,-0.12962305249453532,0.014020852765800541,-0.3093789949307121,-0.2411418466279808,-0.1298719844290961,0.031131632910806513,-0.1474065394472956,-0.08771257366261394,0.21863790392082352,-0.2693524589076336,-0.14253112412578087,0.8856311495253706,-0.04785480228993138,-0.649608462073373,-0.5815826579361182,0.5741639946864173,0.6211400199869463,0.9573111435863582,1.0,-0.7708805425910558,0.39186799014750273
spectralEntropy,0.18941750613696887,-0.015511114104198568,,-0.12799384017245233,-0.5476069672402145,-0.5163074897738565,0.29580081464669794,0.09606581674453168,0.23403963329241176,-0.3456610989873826,-0.6021346525408102,0.4958715328253708,0.34953634709186837,0.35954682892686546,0.41307752648749235,-0.18406938680036725,0.40372423153739584,0.29137076357290403,0.4060335454288113,-0.30612656639472724,0.4227623422688814,0.09220614717738083,-0.21972298749982985,0.5241917907686888,0.0348127729926702,-0.6996031590141569,-0.0036069613942595275,0.5521664709668546,0.5791772986978897,-0.7091305787267813,-0.7127701170368235,-0.6637690126205509,-0.7708805425910558,1.0,-0.5296991219318365
