analysis_name,feature,n_subjects_available,n_subjects_expected_in_analysis,median_PreHI,median_HI,median_difference,bootstrap_ci_95_low_median_difference,bootstrap_ci_95_high_median_difference,median_percentage_change,n_increased,n_decreased,n_unchanged,direction_consistency,dominant_direction,wilcoxon_statistic,wilcoxon_p_value,rank_biserial_effect_size,bootstrap_ci_excludes_zero,bh_fdr_p_value_within_analysis,bh_fdr_significant_within_analysis,absolute_rank_biserial_effect_size,omitted_patient
leave_one_out_exclude_59285,kurtosis,19,19,6.210000000000001,6.1,1.1349999999999998,0.5299999999999999,2.200000000000001,27.34617775015539,14,5,0,0.7368421052631579,increased_during_HI,44.0,0.040130615234375,0.5368421052631579,True,0.0959939529541183,False,0.5368421052631579,59285
leave_one_out_exclude_59285,fuzzyEntropy,19,19,0.22,0.235,-0.01999999999999999,-0.09000000000000002,0.0,-11.111111111111107,5,13,1,0.6842105263157895,decreased_during_HI,43.0,0.06399596863607887,-0.49707602339181284,False,0.0959939529541183,False,0.49707602339181284,59285
leave_one_out_exclude_59285,entropyProfiled_maximum_sampleEntropy,19,19,2.4850000000000003,2.4,-0.3200000000000003,-0.6150000000000002,0.0,-16.309012875536485,5,12,2,0.631578947368421,decreased_during_HI,35.0,0.04946849467368889,-0.5424836601307189,False,0.0959939529541183,False,0.5424836601307189,59285
leave_one_out_exclude_59285,fd_mean,19,19,8.24,7.27,-0.34000000000000075,-0.79,0.15499999999999758,-4.4678055190538855,7,12,0,0.631578947368421,decreased_during_HI,59.0,0.156402587890625,-0.37894736842105264,False,0.156402587890625,False,0.37894736842105264,59285
leave_one_out_exclude_59285,fd_median,19,19,2.975,1.86,-0.07499999999999996,-0.8,0.11000000000000032,-5.285412262156448,7,12,0,0.631578947368421,decreased_during_HI,57.0,0.1336212158203125,-0.4,False,0.156402587890625,False,0.4,59285
leave_one_out_exclude_70447,QRS_mean,19,19,0.1368522585,0.14475,0.004460272000000015,-0.0014142014999999897,0.02906433850000001,3.3968750398655754,11,8,0,0.5789473684210527,increased_during_HI,45.0,0.044559478759765625,0.5263157894736842,False,0.09893698934737778,False,0.5263157894736842,70447
leave_one_out_exclude_70447,kurtosis,19,19,6.210000000000001,6.1,1.1349999999999998,0.125,2.200000000000001,22.02702702702701,14,5,0,0.7368421052631579,increased_during_HI,45.0,0.044559478759765625,0.5263157894736842,True,0.09893698934737778,False,0.5263157894736842,70447
leave_one_out_exclude_70447,fuzzyEntropy,19,19,0.22,0.235,-0.01999999999999999,-0.07,0.0,-10.52631578947368,5,12,2,0.631578947368421,decreased_during_HI,42.0,0.1021457608201883,-0.45098039215686275,False,0.15321864123028245,False,0.45098039215686275,70447
leave_one_out_exclude_70447,entropyProfiled_maximum_sampleEntropy,19,19,2.28,2.285,-0.19000000000000006,-0.6150000000000002,0.0,-16.309012875536485,5,12,2,0.631578947368421,decreased_during_HI,35.0,0.04946849467368889,-0.5424836601307189,False,0.09893698934737778,False,0.5424836601307189,70447
leave_one_out_exclude_70447,fd_mean,19,19,8.24,6.970000000000001,-0.3900000000000001,-0.79,0.15499999999999758,-5.252525252525248,7,12,0,0.631578947368421,decreased_during_HI,57.0,0.1336212158203125,-0.4,False,0.156402587890625,False,0.4,70447
leave_one_out_exclude_70447,fd_median,19,19,2.93,1.86,-0.07499999999999996,-0.5700000000000003,0.11000000000000032,-5.285412262156448,7,12,0,0.631578947368421,decreased_during_HI,59.0,0.156402587890625,-0.37894736842105264,False,0.156402587890625,False,0.37894736842105264,70447
