analysis_name,feature,n_subjects_available,n_subjects_expected_in_analysis,median_PreHI,median_HI,median_difference,bootstrap_ci_95_low_median_difference,bootstrap_ci_95_high_median_difference,median_percentage_change,n_increased,n_decreased,n_unchanged,direction_consistency,dominant_direction,wilcoxon_statistic,wilcoxon_p_value,rank_biserial_effect_size,bootstrap_ci_excludes_zero,bh_fdr_p_value_within_analysis,bh_fdr_significant_within_analysis,absolute_rank_biserial_effect_size,reference_full_median_difference,reference_full_dominant_direction,reference_full_direction_consistency,reference_full_wilcoxon_p_value,reference_full_global_bh_fdr_p_value,reference_full_family_bh_fdr_p_value,reference_full_rank_biserial_effect_size,reference_full_bootstrap_ci_excludes_zero,direction_agrees_with_full_reference,sign_agrees_with_full_reference
fixed_signal_quality_filtered,kurtosis,19,20,5.0649999999999995,5.67,0.7749999999999999,-0.175,1.7299999999999986,17.634854771784227,13,6,0,0.6842105263157895,increased_during_HI,53.0,0.09551239013671875,0.4421052631578947,False,0.14326858520507812,False,0.4421052631578947,0.9924999999999997,increased_during_HI,0.75,0.03623390197753906,0.4330064047960739,0.3623390197753906,0.5333333333333333,True,True,True
fixed_signal_quality_filtered,fuzzyEntropy,19,20,0.24,0.24,-0.01999999999999999,-0.09000000000000002,0.0,-10.52631578947368,4,13,2,0.6842105263157895,decreased_during_HI,33.5,0.04171076716474363,-0.5620915032679739,False,0.1052486837107019,False,0.5620915032679739,-0.01999999999999999,decreased_during_HI,0.65,0.06399596863607887,0.4330064047960739,0.2492978964662329,-0.49707602339181284,False,True,True
fixed_signal_quality_filtered,entropyProfiled_maximum_sampleEntropy,19,20,2.28,2.285,-0.15500000000000003,-0.6149999999999998,0.0,-10.236220472440953,5,13,1,0.6842105263157895,decreased_during_HI,41.0,0.05262434185535095,-0.52046783625731,False,0.1052486837107019,False,0.52046783625731,-0.25500000000000017,decreased_during_HI,0.65,0.034669963150986444,0.4330064047960739,0.27735970520789155,-0.5672514619883041,False,True,True
fixed_signal_quality_filtered,fd_mean,19,20,7.93,7.27,-0.2599999999999998,-0.6949999999999994,0.15499999999999758,-3.703703703703704,7,12,0,0.631578947368421,decreased_during_HI,60.0,0.168792724609375,-0.3684210526315789,False,0.168792724609375,False,0.3684210526315789,-0.36500000000000044,decreased_during_HI,0.65,0.11398696899414062,0.4939435323079427,0.3419609069824219,-0.4095238095238095,False,True,True
fixed_signal_quality_filtered,fd_median,19,20,2.975,1.86,-0.07499999999999996,-0.5700000000000003,0.15499999999999936,-5.285412262156448,7,12,0,0.631578947368421,decreased_during_HI,58.0,0.14468765258789062,-0.3894736842105263,False,0.168792724609375,False,0.3894736842105263,-0.16249999999999998,decreased_during_HI,0.65,0.08969497680664062,0.45281255008419846,0.3419609069824219,-0.4380952380952381,False,True,True
exclude_mechanical_support,QRS_mean,17,17,0.1368522585,0.157876923,0.020566305499999993,-0.0014142014999999897,0.032305719499999996,11.657953062884967,10,7,0,0.5882352941176471,increased_during_HI,31.0,0.030517578125,0.5947712418300654,False,0.0457763671875,True,0.5947712418300654,0.01035768875000001,increased_during_HI,0.6,0.023950576782226562,0.4330064047960739,0.11975288391113281,0.5714285714285714,False,True,True
exclude_mechanical_support,kurtosis,17,17,5.0649999999999995,6.1,1.1349999999999998,0.5299999999999999,2.200000000000001,27.34617775015539,14,3,0,0.8235294117647058,increased_during_HI,16.0,0.0025787353515625,0.7908496732026143,True,0.00783233022157781,True,0.7908496732026143,0.9924999999999997,increased_during_HI,0.75,0.03623390197753906,0.4330064047960739,0.3623390197753906,0.5333333333333333,True,True,True
exclude_mechanical_support,fuzzyEntropy,17,17,0.22,0.23,-0.01999999999999999,-0.09000000000000002,0.0,-11.111111111111107,3,12,2,0.7058823529411765,decreased_during_HI,20.0,0.02301276385509717,-0.6666666666666666,False,0.0457763671875,True,0.6666666666666666,-0.01999999999999999,decreased_during_HI,0.65,0.06399596863607887,0.4330064047960739,0.2492978964662329,-0.49707602339181284,False,True,True
exclude_mechanical_support,entropyProfiled_maximum_sampleEntropy,17,17,2.4850000000000003,2.285,-0.3200000000000003,-0.6150000000000002,0.0,-16.309012875536485,3,12,2,0.7058823529411765,decreased_during_HI,7.0,0.0026107767405259366,-0.8833333333333333,False,0.00783233022157781,True,0.8833333333333333,-0.25500000000000017,decreased_during_HI,0.65,0.034669963150986444,0.4330064047960739,0.27735970520789155,-0.5672514619883041,False,True,True
exclude_mechanical_support,fd_mean,17,17,8.864999999999998,7.355,-0.34000000000000075,-0.79,0.3600000000000012,-4.4678055190538855,6,11,0,0.6470588235294118,decreased_during_HI,50.0,0.2246856689453125,-0.3464052287581699,False,0.2246856689453125,False,0.3464052287581699,-0.36500000000000044,decreased_during_HI,0.65,0.11398696899414062,0.4939435323079427,0.3419609069824219,-0.4095238095238095,False,True,True
exclude_mechanical_support,fd_median,17,17,3.035,2.41,-0.25,-0.8,0.11000000000000032,-5.285412262156448,6,11,0,0.6470588235294118,decreased_during_HI,42.0,0.10888671875,-0.45098039215686275,False,0.13066406249999998,False,0.45098039215686275,-0.16249999999999998,decreased_during_HI,0.65,0.08969497680664062,0.45281255008419846,0.3419609069824219,-0.4380952380952381,False,True,True
exclude_antiarrhythmic_exposure,QRS_mean,15,15,0.1368522585,0.159829222,0.020566305499999993,-0.001880313999999994,0.032305719499999996,11.657953062884967,10,5,0,0.6666666666666666,increased_during_HI,20.0,0.02154541015625,0.6666666666666666,False,0.1292724609375,False,0.6666666666666666,0.01035768875000001,increased_during_HI,0.6,0.023950576782226562,0.4330064047960739,0.11975288391113281,0.5714285714285714,False,True,True
exclude_antiarrhythmic_exposure,kurtosis,15,15,5.75,3.1,1.1349999999999998,0.125,2.2350000000000003,27.34617775015539,11,4,0,0.7333333333333333,increased_during_HI,33.0,0.1353759765625,0.45,True,0.19536769157632872,False,0.45,0.9924999999999997,increased_during_HI,0.75,0.03623390197753906,0.4330064047960739,0.3623390197753906,0.5333333333333333,True,True,True
exclude_antiarrhythmic_exposure,fuzzyEntropy,15,15,0.28,0.24,-0.01999999999999999,-0.09000000000000002,0.0,-11.111111111111107,4,9,2,0.6,decreased_during_HI,27.0,0.19536769157632872,-0.4065934065934066,False,0.19536769157632872,False,0.4065934065934066,-0.01999999999999999,decreased_during_HI,0.65,0.06399596863607887,0.4330064047960739,0.2492978964662329,-0.49707602339181284,False,True,True
