feature,feature_family,excluded_patient_id,n_paired_patients,median_PreHI,median_HI,median_delta_HI_minus_PreHI,n_increase,n_decrease,n_no_change,dominant_direction,direction_consistency,wilcoxon_p,rank_biserial_effect_size,bootstrap_median_delta_ci_low,bootstrap_median_delta_ci_high,bootstrap_ci_excludes_zero,loo_status,analysis_type,baseline_dominant_direction,baseline_median_delta_HI_minus_PreHI,baseline_direction_consistency,baseline_wilcoxon_p,baseline_rank_biserial_effect_size,baseline_bootstrap_ci_excludes_zero,direction_matches_baseline,median_delta_sign_matches_baseline,direction_consistency_drop,p_value_ratio_vs_baseline,potentially_influential_patient_flag
HRV_MeanNN,HRV,70447,19,626.1989528500001,652.5603795,14.96410354999989,14,5,0,increase,0.7368421052631579,0.07987594604492188,0.4631578947368421,1.601366999999982,65.73329710000007,1,adequate_sample_size,leave_one_patient_out,increase,20.759493749999933,0.75,0.05316925048828125,0.49523809523809526,1,1,1,0.013157894736842146,1.5022958817620893,0
HRV_MeanNN,HRV,80436,19,625.8526316,652.5603795,26.554883949999976,15,4,0,increase,0.7894736842105263,0.0180816650390625,0.6105263157894737,1.6661452999999256,68.68599989999996,1,adequate_sample_size,leave_one_patient_out,increase,20.759493749999933,0.75,0.05316925048828125,0.49523809523809526,1,1,1,-0.03947368421052633,0.3400774860094705,0
HRV_MeanNN,HRV,8452,19,625.8526316,632.2539683,14.96410354999989,14,5,0,increase,0.7368421052631579,0.07987594604492188,0.4631578947368421,1.601366999999982,68.68599989999996,1,adequate_sample_size,leave_one_patient_out,increase,20.759493749999933,0.75,0.05316925048828125,0.49523809523809526,1,1,1,0.013157894736842146,1.5022958817620893,0
HRV_MeanNN,HRV,88503,19,625.8526316,632.2539683,14.96410354999989,14,5,0,increase,0.7368421052631579,0.09551239013671875,0.4421052631578947,1.601366999999982,65.73329710000007,1,adequate_sample_size,leave_one_patient_out,increase,20.759493749999933,0.75,0.05316925048828125,0.49523809523809526,1,1,1,0.013157894736842146,1.7963839862247095,0
HRV_MeanNN,HRV,90396,19,626.1989528500001,632.2539683,14.96410354999989,14,5,0,increase,0.7368421052631579,0.09551239013671875,0.4421052631578947,1.601366999999982,65.73329710000007,1,adequate_sample_size,leave_one_patient_out,increase,20.759493749999933,0.75,0.05316925048828125,0.49523809523809526,1,1,1,0.013157894736842146,1.7963839862247095,0
HRV_MeanNN,HRV,906,19,625.8526316,632.2539683,26.554883949999976,14,5,0,increase,0.7368421052631579,0.060207366943359375,0.49473684210526314,1.601366999999982,68.68599989999996,1,adequate_sample_size,leave_one_patient_out,increase,20.759493749999933,0.75,0.05316925048828125,0.49523809523809526,1,1,1,0.013157894736842146,1.1323719328454585,0
HRV_MeanNN,HRV,96305,19,625.8526316,632.2539683,26.554883949999976,14,5,0,increase,0.7368421052631579,0.060207366943359375,0.49473684210526314,1.601366999999982,68.68599989999996,1,adequate_sample_size,leave_one_patient_out,increase,20.759493749999933,0.75,0.05316925048828125,0.49523809523809526,1,1,1,0.013157894736842146,1.1323719328454585,0
HRV_MeanNN,HRV,96879,19,625.8526316,652.5603795,26.554883949999976,15,4,0,increase,0.7894736842105263,0.0180816650390625,0.6105263157894737,1.6661452999999256,68.68599989999996,1,adequate_sample_size,leave_one_patient_out,increase,20.759493749999933,0.75,0.05316925048828125,0.49523809523809526,1,1,1,-0.03947368421052633,0.3400774860094705,0
HRV_pNN50,HRV,,20,44.7382946925,30.966068794999998,-11.345795360000002,7,13,0,decrease,0.65,0.026641845703125,-0.5619047619047619,-16.897239735000007,0.7701153574999999,0,adequate_sample_size,baseline_all_patients,decrease,-11.345795360000002,0.65,0.026641845703125,-0.5619047619047619,0,1,1,0.0,1.0,0
HRV_pNN50,HRV,10013,19,45.032144945,32.62605042,-11.334945930000009,7,12,0,decrease,0.631578947368421,0.049365997314453125,-0.5157894736842106,-16.41573228500001,1.5062300949999994,0,adequate_sample_size,leave_one_patient_out,decrease,-11.345795360000002,0.65,0.026641845703125,-0.5619047619047619,0,1,1,0.018421052631579005,1.8529495990836198,0
HRV_pNN50,HRV,1049,19,45.032144945,32.62605042,-11.356644789999995,7,12,0,decrease,0.631578947368421,0.040130615234375,-0.5368421052631579,-17.378747184999998,1.5062300949999994,0,adequate_sample_size,leave_one_patient_out,decrease,-11.345795360000002,0.65,0.026641845703125,-0.5619047619047619,0,1,1,0.018421052631579005,1.5063001145475372,0
